id,has_ml,has_cloud,has_backend,seniority_score
4402063991,False,True,True,1
4400250820,False,True,False,3
4385160370,True,True,False,3
4390686657,True,False,False,3
4389407164,True,False,False,3
4393988383,True,False,False,1
4383409639,True,False,False,4
4393275688,True,False,False,4
4389406209,True,False,False,1
4407540751,True,False,False,1
4369993014,True,False,False,4
4339803972,True,False,False,3
4393216986,True,False,False,3
4405808380,True,False,False,1
4400574718,False,True,False,1
4399413461,True,True,False,3
4379081566,False,False,False,1
4375402681,True,True,False,3
4364416535,True,True,False,4
4375897763,True,False,False,3
4390361687,True,True,False,4
4401793818,True,False,False,3
4403543880,True,False,False,3
4380588279,True,False,False,3
4389297464,False,False,False,4
4384508688,True,False,False,4
4364502224,True,False,False,4
4385155580,True,True,False,3
4385166131,True,True,False,4
4384509658,True,False,False,4
4385162312,True,True,False,4
4385154681,True,True,False,3
4381497324,False,False,False,4
4393977794,True,False,False,4
4335151263,True,False,False,3
4408207946,True,False,False,4
4335111772,False,True,False,1
4400648492,False,False,False,4
4400654311,True,False,False,4
4375413293,True,False,False,4
4391784009,False,False,False,4
4389291615,False,False,False,4
4385157529,True,True,False,4
4381489610,False,False,False,4
4384504708,True,False,False,4
4385154679,True,True,False,3
4398483604,False,True,True,1
4393978764,True,False,False,4
4402068864,True,True,True,2
4390635659,False,True,True,3
4403774407,False,True,True,4
4399848499,False,True,False,3
4401774602,False,True,True,4
4400273059,False,True,True,3
4386954912,False,True,True,1
4405295565,False,True,False,1
4402653783,False,True,False,3
4405400517,False,True,True,1
4402653756,False,True,True,3
4402083273,True,True,True,1
4406100706,False,True,False,1
4405821569,False,True,True,3
4399047911,True,True,False,3
4398358366,False,True,False,1
4402481483,False,True,True,1
4383318689,True,True,False,4
4398402472,False,True,False,1
4403589024,True,True,False,1
4197742008,False,True,True,1
4405807921,False,True,True,3
4335200952,False,True,False,1
4387890473,True,False,False,4
4399404733,True,True,False,3
4408224006,True,False,False,4
4374502926,False,False,True,1
4386580527,False,True,True,1
4398923046,False,True,False,1
4403590083,True,False,True,1
4406132261,True,False,True,1
4398904768,True,True,False,1
4380129920,False,True,True,1
4406136157,True,False,True,1
4403590082,True,False,True,1
4403105879,True,False,True,2
4386540181,False,False,True,1
4395336848,False,False,True,1
4379928425,False,True,False,1
4387349351,False,True,False,1
4404441850,False,False,True,1
4399461763,False,True,False,1
4405997075,False,True,False,1
4407874533,False,True,True,3
4404782872,False,False,True,1
4398093241,False,True,True,4
4379099609,False,False,True,4
4391759037,False,True,True,3
4398083617,True,False,True,4
4392932466,False,False,True,4
4394959956,False,True,True,3
4335099841,True,False,False,3
4335141401,False,True,False,1
4335190994,True,False,False,3
4400652371,False,False,False,4
4403537647,False,True,False,3
4400647651,False,False,False,4
4400652372,True,False,False,4
4389406213,False,False,False,4
4385168102,True,True,False,4
4408224007,True,False,False,4
4381486715,False,False,False,4
4400639956,True,False,False,4
4364186972,True,False,False,4
4364197061,True,False,False,4
4408098992,True,False,False,4
4384515322,True,False,False,4
4400654309,False,False,False,4
4381498284,False,False,False,4
4407898309,False,True,False,1
4335220867,False,True,False,1
4383316725,True,False,False,1
4388209443,False,False,False,1
4364445378,True,False,False,4
4405802930,True,False,False,1
4383317721,True,True,False,4
4369694860,False,False,False,1
4365147831,True,False,False,1
4378035993,False,False,False,4
4389403252,False,False,False,4
4378383603,True,False,False,4
4387639800,False,True,True,3
4400654310,True,False,False,4
4406084243,True,True,False,1
4391518409,True,False,False,1
4335111771,True,False,False,3
4396136841,False,False,True,1
4395879537,False,False,True,3
4396493706,False,False,False,3
4402466883,True,False,True,3
4403748045,False,False,True,3
4398287656,False,False,True,4
4396144928,False,False,True,3
4400463327,False,False,True,3
4402892613,False,False,False,3
4403226072,False,True,True,1
4399075064,False,False,True,1
4403748149,False,False,True,3
4405128459,False,False,True,1
4400438321,False,False,True,4
4400443437,False,False,False,1
4398843798,False,False,False,1
4403764136,False,False,True,1
4403751013,False,False,False,3
4405596237,True,False,True,1
4402823049,False,False,True,3
4400467322,True,False,False,3
4395173067,False,False,True,1
4374277569,False,False,True,1
4400552114,False,True,False,1
4399284213,False,False,True,1
4406612300,False,True,True,3
4404388045,False,False,False,1
4405660714,False,False,True,1
4405441326,False,True,True,1
4374279579,False,True,True,3
4400611618,False,False,True,1
4374261839,False,True,True,1
4406616184,False,True,True,1
4382120574,False,False,True,3
4374277566,False,False,False,1
4374265698,False,False,False,1
4374276622,False,True,True,1
4374269715,False,True,True,3
4374282454,False,True,True,1
4374275644,False,True,True,3
4374280538,False,True,True,3
4405287571,False,True,True,1
4402564011,False,True,True,1
4374264756,False,False,False,1
4405412423,False,False,True,1
4380933485,False,False,True,3
4404352950,False,True,True,1
4385123489,False,False,True,1
4393972942,True,False,False,1
4401342264,False,False,True,1
4405267956,False,True,True,1
4393275691,True,False,False,4
4390683660,True,False,False,3
4393276557,True,False,False,4
4401791814,True,False,False,3
4390365522,True,True,False,4
4393992207,True,False,False,1
4401794704,True,False,False,3
4401797604,True,False,False,3
4390688477,True,False,False,3
4398594192,False,False,False,1
4364435699,True,True,False,4
4390373068,True,True,False,4
4390680687,True,False,False,3
4364435698,True,True,False,4
4364550326,True,True,False,4
4399411507,True,True,False,3
4399403872,True,True,False,3
4385322117,True,True,False,1
4405872262,False,False,False,1
4408003901,False,True,True,1
4390355906,True,True,False,4
4395717472,False,False,False,1
4380936401,False,False,True,3
4404368794,False,False,True,1
4400437367,False,False,True,3
4399964486,False,False,False,4
4393281466,True,False,False,4
4393995058,True,False,False,1
4408010166,False,True,False,1
4407896370,False,True,False,1
